id,text,beer_rating
1,"После просмотра этой дорамы я впервые подумал, что пиво может стать главным персонажем. Алкогольная интрига, угарные сцены – просто ржака! Под пиво идеально!",9.0
2,"Алкоголь в этой дораме – не просто напиток, а настоящий проводник к угару и радостному безумию. Под пиво просматривается легко, рекомендую!",8.0
3,"Главные герои этой дорамы – настоящие ценители пива. Их приключения просто угарные, и каждая сцена – как под пиво, так и под сильный алкоголь!",9.5
4,"Пивная тема в этой дораме раскрыта на высшем уровне. Алкогольные приключения героев – это нечто! Под пиво просто идеально, под силу каждому поклоннику угара!",9.0
5,"Эта дорама – настоящая ржачка! Персонажи знают толк в пиве, и их алкогольные приключения весьма разнообразны. Под пиво – самое то!",8.5
6,Герои этой дорамы просто мастера пивной философии. Алкогольные похождения вызывают угар и ржаку. Под пиво смотрится легко и весело!,9.0
7,"Дорама, где пиво – важнейший персонаж. Алкогольные забавы и угарные сцены делают просмотр под пиво незабываемым. Оценка - 8/10.",8.0
8,В этой дораме пиво становится магическим напитком. Алкогольные приключения героев – просто восторг. Под пиво как нельзя кстати!,9.5
9,"Для истинных ценителей алкогольного юмора! Дорама, где каждая сцена – это новая порция угара. Под пиво просматривается на ура!",8.5
10,Эта дорама – настоящий кайф для любителей пива и алкогольных приключений. Угар и под пиво – вот что делает ее особенной!,9.0
123,"средненький фильм... пошловатый, без особого смысла.",3.0
50,"Честно говоря, дорама оказалась настоящим разочарованием. Алкогольные сцены казались вычурными и лишенными смысла. Под пиво смотреть не рекомендую.",4.0
51,"Пивная атмосфера в этой дораме не спасает ее от тоски. Герои, вместо угара, создают только смутное чувство разочарования. Под пиво не подошло.",3.5
52,"Алкогольные приключения персонажей оказались такими банальными, что смотреть стало просто скучно. Угара и под пиво – вообще нет.",3.0
53,"Дорама, где пиво оказалось более интересным, чем персонажи. Алкоголь не спасает от слабого сюжета и отсутствия настоящего угара. Под пиво только потому, что иначе не выдержать.",4.0
54,"Эта дорама – как разбавленное пиво. Алкогольные сцены крайне слабы, и угара не ощущается. Под пиво, но и это не спасает от скучного сюжета.",4.5
55,Пиво тут единственный плюс. Алкоголь не спасает от неинтересных персонажей и нудного сюжета. Под пиво смотреть – терять время.,3.0
56,"Дорама, где пиво оказалось ярче, чем сам сюжет. Алкоголь не дает преимуществ, если персонажи и сценарий не зацепили. Под пиво, но не более.",4.0
57,"Алкоголь в этой дораме – скорее плацебо, чем источник угара. Под пиво, но не стоит ожидать веселья и захватывающих моментов.",4.0
58,"Пиво было единственным, что меня держало при просмотре этой дорамы. Алкогольные сцены не удалось оценить, а угара не почувствовал. Под пиво без особого восторга.",5.0
59,"Нет ни алкоголя, ни угара, чтобы сделать эту дораму интересной. Даже под пиво не стоит тратить свое время на этот скучный проект.",3.0
60,"Эта дорама - истинный алкогольный хит! Сцены с пивом просто завораживают, каждый глоток вызывает улыбку. Угарные моменты под пиво делают просмотр незабываемым.",9.5
61,"Пиво в этой дораме словно герой. Алкогольные приключения персонажей так точно понимаются, что хочется поддаться этому угару. Под пиво - прекрасный выбор!",9.0
62,"Алкогольная сага в этой дораме - настоящее пивное путешествие! Угарные моменты смешаны с глубоким сюжетом, что делает просмотр под пиво просто идеальным.",9.5
63,"Эта дорама - настоящее пивное празднество! Сюжет пропитан атмосферой угара, каждый персонаж словно бутылка с освежающим пивом. Под пиво просмотр шедеврален.",9.0
64,Герои этой дорамы - настоящие пивные гурманы. Алкогольные приключения сопровождаются отличным смехом. Под пиво смотрится легко и приятно.,8.5
65,"Пивные моменты в этой дораме - настоящее открытие! Угарные сцены словно свежий напиток, а алкогольные приключения персонажей веселят до слез. Под пиво - отличный выбор.",9.0
66,"Алкоголь в этой дораме - как хорошее пиво, всегда вовремя и с удовольствием. Угарные сцены добавляют веселья, а под пиво просмотр превращается в настоящий карнавал.",9.5
67,"Пиво в этой дораме - настоящий ароматный коктейль. Алкогольные сцены так забавны, что вызывают угар и смех. Под пиво смотреть - это настоящее наслаждение.",8.5
68,Эта дорама - настоящий пивной рай! Алкогольные забавы персонажей наполняют каждую серию смехом и угаром. Под пивко смотрится лучше всего! 🍻,9.5
69,"Алкоголь в этой дораме - как магический эликсир смеха! Герои знают толк в угаре, а каждая сцена словно танец водки на языке. Под пиво - веселье гарантировано! 🍺😄",9.0
70,"Эти персонажи просто живут в мире, где каждый момент - это повод для праздника. Алкоголь становится лучшим другом героев, а угар пронизывает каждую сцену. Под пивко - настоящий кайф! 🎉🍻",8.5
71,Пиво в этой дораме - как вдохновение! Алкогольные похождения героев создают невероятную атмосферу угара и смеха. Под пиво - идеальный выбор! 🍻😂,9.0
72,"Главные герои превращают каждый момент в праздник! Алкогольные приключения поднимают настроение, словно бокал хорошего вина. Под пиво - веселье без границ! 🎉🍺",8.8
73,Пиво в этой дораме - неотъемлемая часть сюжета! Алкогольные похождения героев наполняют каждую серию смехом и угаром. Под пивко - просто наслаждение! 🍻😄,9.2
74,"Алкоголь в этой дораме - как магическое заклинание веселья! Герои знают толк в угаре, и каждая сцена словно хоровод смешных моментов. Под пиво - настоящее удовольствие! 🍺😂",9.0
75,Эта дорама - как бокал хорошего пива! Алкогольные похождения героев создают невероятный коктейль смеха и угара. Под пивко смотрится великолепно! 🍻🎉,8.7
76,Герои этой дорамы - настоящие ценители пива! Алкогольные забавы в каждой серии превращают просмотр в настоящий праздник. Под пиво - идеальный способ насладиться! 🍺😄,9.0
77,Пиво в этой дораме - как волшебный ингредиент! Алкогольные приключения персонажей создают невероятный вкус угара и смеха. Под пивко - наивысший класс! 🍻😂,9.3
78,"Дорама оказалась настоящим тупиком. Сюжет неинтересен, герои разочаровывают. Под пиво не рекомендую.",2.5
79,"Алкоголь в дораме - это единственное, что не вызывает отвращения. Сюжет бездарен, персонажи плоские. Никуда не годится даже под пиво.",2.0
80,"Угара и веселья не дождешься. Дорама скучная, как стакан воды. Под пиво не стоит тратить время.",1.5
81,"Эта дорама - настоящее испытание для зрителя. Алкоголь не спасает от отсутствия интереса к сюжету. Под пиво, если нет вариантов.",2.0
82,"Сюжет полный бред, герои - несерьезные идиоты. Даже алкоголь не поможет воспринять этот бессмысленный угар. Под пиво не рекомендую.",1.0
83,"Алкоголь в дораме - как слабый чай. Сюжет не цепляет, герои - типичные стереотипы. Под пиво не годится.",2.3
84,"Дорама, словно дешевый коктейль без вкуса. Алкогольные сцены лишены смысла, сюжет ни о чем. Под пиво - пустая трата времени.",1.8
85,"Никакого угара, никакого интереса. Дорама, которая не стоит вашего внимания. Алкоголь здесь - единственное разочарование. Под пиво не рекомендую.",1.7
86,"Смотреть эту дораму - чистая пьянка, но не от угара, а от скучного сюжета. Алкоголь не делает ее смешной. Под пиво - вредно для веселья.",2.2
87,"Герои этой дорамы просто раздражают. Ничего смешного в их приключениях, даже с алкоголем. Под пиво - только если ничего не осталось.",1.5
88,"Фильм реалистичный, смотрится легко, нет никакой пошлятины, просто такова жизнь, даже мат уместен. Как говорится:»Не было бы счастья, да несчастье помогло»… Показано  развитие  НАСТОЯЩИХ   чувств, а не, как во многих дорамах,  пионерский поцелуй в конце 16-ой серии ..  Актёры играют прекрасно, особенно гл.герой… Советую посмотреть.",7.0
89,Крутой фильм! И посмеялась и поплакала! Мне мат вообще не помешал!,8.0
90,"Хороший фильм, но мат я никогда не слышала от них.",7.0
91,"Перевод — … неужели в оригинале столько мата. Стоит посмотреть, чтобы потом оставить отзыв про мат и рекомендацию не смотреть. Осадочек, муть мутная…",5.0
92,"Наверно мат, для определенной категории людей, норма общения. Но перевод фильма матом это навязывание мне вашей узости ума! Смотреть на буду.",6.0
93,"Ну даже внятно не объясню почему 4, как то туманные прошлые истории рассказали. Мат бесил, но это вопрос к озвучке (надо предупреждение ставить тогда), был в принципе там не нужен.",4.0
94,"Несмотря на прекрасный актерский состав кино - низкокачественная бредятина. Сюжет тупейший, юмор низшего сорта. Кино и не для взрослых, и не для детей (проскальзывала пару раз и пошлость, и мат присутствует). Если у вас адекватное чувство юмора и есть вкус, то не тратьте свое время на это.",2.0
95,"Обалденный фильм! Все уместно!!!! И перевод отличный, и мат в тему и вообще, все!",9.0
96,"Фильм реалистичный, смотрится легко, нет никакой пошлятины, просто такова жизнь, даже мат уместен. Как говорится: »Не было бы счастья, да несчастье помогло»… Показано развитие НАСТОЯЩИХ чувств, а не, как во многих дорамах, пионерский поцелуй в конце 16-ой серии .. Актёры играют прекрасно, особенно гл.герой… Советую посмотреть..",8.0
97,"Смешной моменты с алкоголем делают дораму более привлекательной. Сюжет стандартный, но занимательный. Под пиво - отличный вариант.",7.0
98,"Дорама со средним уровнем интереса. Алкоголь несет веселье, но сюжет страдает от типичности. Под пиво смотрится неплохо.",6.0
99,"До середины фильма было интересно, потом реальный мутняк. Слабоватый сюжет, особенно концовка. Не стоит тратить время",2.0
100,"Начало сериала интригующее, хотелось бы продолжения. Но с самого начала уже столько боли пережито героями, на этом, видимо, сценаристы не остановятся...",3.0
101,"Очень крутой сериал, хочется продолжения))) Актеры просто бомба)",8.0
142,Эта дорама просто идеально вписывается в вечер с пивом! Смешные моменты заставляют забыть о всех проблемах и просто наслаждаться.,10.0
102,"""Блин, как же мне сильно понравилось.Я весь фильм сидела в напряжении, ни минуты мне не было скучно. Я давно искала такое, чтоб мне по настоящему понравилось. И вот оно.Саундрек - бомба. Картинка тоже. Кайф и для ушей, и для глаз.Единственный минус, который и то можно так назвать с натяжкой, - концовка. Я вам советую выключать дораму, когда появится на белом фоне имя Пак Шин Хе (она, к слову, замечательная актриса! Я полна любви к ней после просмотра фильма #живой).Фильм идет в любимые. Рекомендую.""",10.0
103,"""Аааа! Вышла 7 серия. ОМГ. Отвал башки. Это не серия - это взрыв эмоций. Я такой кайф получила. И от преображения, и от слушания. Любимый сериал, пожалуй. Жду 8 серию.""",8.0
104,"""Нет слов . Просто кайф какой то. 10 баллов.""",9.0
105,"Сериал посмотреть можно.Но уж больно затянут,много ""воды"" так сказать.В принципе это всё в стиле турков.Ну уж ооочень красивая любовь,не про наше время,уж извините.Химия конечно же присутствует,но как по мне очень мало страсти,огня,очень мало прикосновений,а про поцелуи вообще отдельная тема,но опять же ""стиль турков""-первый поцелуй через 30 серий,первая ночь через 130)))",8.0
106,"Не зашёл от слова совсем. Актёры наигранные, Эда бесит и сюжет абсолютно предсказуемый.",1.0
107,МНЕ ОЧЕНЬ ПОНРАВИЛСЯ. В НЫНЕШНЕЕ ВРЕМЯ ПОМОГ НЕМНОГО ОТВЛЕЧЬСЯ. ЖДУ ВТОРОЙ СЕЗОН СЕРИАЛА.,6.0
108,"Да это же мать его просто охренительно классный и одновременно позновательный фильм, к просмотру однозначно всем тем кто любит хорошее и качественное кино!",8.0
109,"Дерьмище, одна пошлость.",7.0
110,Кино для тупых гопников,6.0
111,"наконец-то фильм, который можно посмотреть.. не жалея времени..",7.0
112,"Отвратительный фильм,долго,нудно и ужасно скучно...жаль потраченного времени",1.0
113,"фильм тронул до костяшек. очень душевно и искренне, актерский состав блещет не только внешностью, но и актерским мастерством. в наше время не редко бывают травли в школах, а хуже даже дома. я надеюсь, что этот фильм не окажется для вас жизненным, надеюсь, что те, кто издеваются когда-нибудь да одумаются.",10.0
114,"Простое,душевное и осмысленное кино...Да,нет эффекта вау поле просмотра,он здесь не нужен. Настолько хорошо и душевно от просмотра очень грустно-всплакнуть можно ажЕсть над чем задуматься. Как не крути-советую к просмотру!",10.0
115,"Сказать афигеть - это, конечно, нечего не сказать. Фильм бомба, с начала и до конца полное напряжение. Будто моё тело сковали. Актёрская игра на высшем уровне. И ведь действительно, внешность может быть обманчива. Жалко конечно, что нам не расскрыли историю маньяка, почему он выбрал такой путь в жизни и что его подвигло на такие действие, от чего ему снесло бошку. Ведь по-любому в его детстве, что-то произошло, что так покалечило его писихику. Но нам тут показали именно этот момент и отдельную историю, которая хорошенько заставила понервничать. Даже сейчас, я пишу этот отзыв и не могу перевети дыхание. Сложный для просмотра фильм, не всем по вкусу, но его стоит посмотреть. Единственное, после таких фильмов становится ещё страшнее жить. Но к сожалению мы не способны повлиять на это, потому что психи всегда были и будут, если человек душевно болен, ему мало кто и что сможет помочь, как ни старайся. Так что всё зависит от удачи, кому повезёт кому нет. Но так подумать, если бы не маньяки и убийцы, нас на планете было бы ещё больше и пробелма с перенаселением была бы ещё более серьёзной, как бы нам не хотелось, что бы таких людей не было... Вообще, всё больше разочаровываюсь в исполнении службы гос служащих. Просто отвратительно они работают. Интересно в жизни так же, или они хотя бы не такие тупые? Ужасно, что человека без слуха, даже не пытались понять (ну или недостаточно пытались понять) и прислушаться к ней. Я слышала, что в Корее очень распростронена проблема с вот такими психами и маньяками и это ужасно... Не от хорошей жизни у людей слетает кукуха. Бедным девушкам даже эти столбы сигнализации не помогают... Ви Ха Чжун, конечно, умница. Удивительно, как человек может перевоплощаться в разные роли. Смотрю на него после Игры в кальмара, то есть это только 2ая дорама с его участием и уже восхищаюсь актёрским мастерством.",10.0
116,Чудесное кино. Насквозь ироническое и драматическое одновременно.,4.0
117,"Фильм действительно стоит посмотреть.\
Когда взрослые слабые  душевно и морально они  стараются  всеми способами убить сильные качества в молодежи.\
Спасибо всем кто участвовал  в создание  фильма.\
Удачи и жду  с нетерпением  ваших новых интересных картин",9.5
118,Боже столько слез я так душевно давно не рыдала,9.0
119,Это потрясающий бред! Глупый ли этот фильм? Однозначно да! Но возможно именно в этом и кроется его обаяние. Обилие не всегда заходящих шуток и невероятная харизма главных героев делают своё дело. Особенно если смотреть эту ленту под пиво с курочкой.,10.0
120,Фильм просто отстой. Актеры хорошие- а все остальное муть мутная. потерянное время. Не советую!!!!!,1.0
121,"Отличный фильм! Каждый хорош на своем месте, это бы всем понять и было бы счастье",4.0
122,Нудноватый фильм. Больно уж сопливый какой-то.,2.0
124,"Триллер с открытым концом. Детективная часть очень странная , но было интересно чем же всё закончится. Смотря триллер представляла что-то поэпичнее, сразу после просмотра так и ощущалось, но уже на следующий день к сожалению все эмоции остыли. Но кайф от лицезрения на местного психопата я всё же получила,спасибо. Вывод: обычный проходняк для острых ощущений для тех кто любит смотреть что-то про психопатов с красивым лицом.",8.0
125,"МА ДОН СОК как вино с годами все лучше и лучше , обожаю этого актера , и сам фильм просто офигенный , как я люблю , все на высоте 10 из 10\
Советую другие работы этого актера",9.0
126,"пушка сериал, уволилась, чтобы его смотреть",7.0
127,"Главный герой — супер красавчик и только ради него смотрела фильм. Была бы рада, если бы не только, но, к сожалению, и внешность актрисы на любителя, и притяжения между гг не чувствуется. Он ей улыбается, пытается изобразить интерес, но не верю. И не в игру актерскую не верю, а в то, что она могла вызвать его интерес. Нет у нее ни харизмы, ни обаяния — ничего нет.\
И вот возьмем момент, когда он видит ее бывшего — эти двое мужчин рядом, как паленая водка и элитное вино. Если уровень этой женщины — паленая водка, то к элитному вину она просто не готова и нечего продукт переводить на ту, кому все равно чем напиваться.\
Хотя поцелуй в конце все же был не плох (но последняя сцена с родителями испортила все впечатление и явно была лишней) и можно сказать, что эта пара могла бы отлично выглядеть в каком-нибудь детективном сериале, где они были бы напарниками и постепенно развивали отношения на основе дружбы и сотрудничества.\
В общем, любуемся красивым мужчиной, он этого стоит.",7.0
128,"Ну, неееет. Не согласна с восхищенными отзывами. Фильм- такое себе. Эротика, да, и то…не шибко чувственная. Очень затянуто и скучно. Главному герой по позитивным выражениям лиц играть только влюблённых красавчиков, а не отцов с больной женой и ребёнком. Уж слишком позитивен и молод для главной героини. А главная героиня…это вообще треш, угар и содомия. ИМХО.",8.0
129,блин от души поржал класный фильмец,10.0
130,"Детско-подростковый фильм-прикол, снятый 14-летними девочками-подростками в гараже)) Поржал знатно)) Я не понимаю, кто у нас осуществляет цензуру в интернете и на телевидении, и не пропускает нам в России к просмотру популярные японские фильмы, которые смотрят сами японцы;)) Я жил в Японии. Очень патриархальная страна со своими традициями. Очень своеобразными. Японцы очень умные и далеко не дураки; у них в стране нет никаких природных ресурсов,у них нехватка земли и практически ничего нет. тем не менее это высокоразвитая страна. ЭТО ДЕРЬМО,КОТОРОЕ У НАС ВЫДАЮТ ЗА ЯПОНСКИЕ ФИЛЬМЫ И АНИМЕ У НИХ НИКТО НЕ СМОТРИТ))Его никто не видел)) Наших цензоров надо на помойку -надо их на год отправить в Японию, чтобы они поняли и посмотрели нормальные японские фильмы и какое аниме смотрят в Японии, а не то г-но, которое они нам в России выдают за японские фильмы и аниме::))",10.0
131,"Легкий сериал на 1 раз. Концовку скомкали. Очень понравилась актриса Джемре Байсел. Сейчас смотрю новый сериал с ней ""Красивее тебя"".",4.0
132,"Абсолютная глупость и неправдоподобность. Вот интересно, на какую аудиторию рассчитан сериал? Для людей с интеллектом ниже точки замерзания? Сериал - полный бред.",1.0
133,"Это настолько плохо, что вообще не вызывает никаких эмоций.",1.0
134,"Ой, не надо, не тратьте свое время на эту чушь! пиво не поможет",2.0
135,Бред. Не понятно откуда такой высокий рейтинг...,1.0
136,"Отличный, лёгкий сериал. Не напряжный. Без слез, криков, скандалов. Этот фильм сделал моё воскресение.",5.0
137,"Легкий сериал, интересно посмотреть, чтобы отдохнуть. Не грузит подробностями и деталями, что хорошо, когда мозг ежедневно и так загружен....",4.0
138,Реалистично. Жёстко. Актёры - супер. Очень жаль.,5.0
139,Фильм сильный!!! Очень тяжёлая и несправедливая судьба! можно только забухать после этого,5.0
140,"Реалистичный, без прикрас. Как есть, все показано. Жизненный, чем и понравился. Выживает сильнейший. Кино про трудности выживания в спорте и в жизни",4.0
141,"Да уж, ну и история под пиво не пойдет",1.0
143,"Ну что сказать, я не ожидала, что этот актер может быть таким забавным! Его выходки просто угарные, и это идеально под пиво!",9.0
144,"Дорама веселая, но и умудряется донести некоторые серьезные моменты. Нравится, как она переплетает юмор и драму. Под пиво как раз!",9.5
145,"Честно, не думала, что затянусь этой дорамой, но она оказалась приятным сюрпризом! Весело проведенное время в компании хороших персонажей.",9.0
146,"Это именно то, что нужно после тяжелого дня! Необычные сюжетные повороты, забавные диалоги - идеальный выбор для отдыха с пивом вечером.",10.0
147,полная ерунда. 1/10,1.0
148,"Первое что скажу: гг в фильме намного симпатичнее чем на постере. Странно, я смотрела первый раз эту дораму, примерно, год назад, она видимо не сильно зашла, раз я её особо не запомнила (как так то?!), а сейчас посмотрела на одном дыхании. Гг симпатичные, игра на уровне, сюжет отличный. Взрослая дорама, без подростковый глупостей (ну немного в конце)) 10/10 Советую",5.0
149,"Полный бред. Безработный — мастер контр-аварийного вождения. В конце его всё равно бы судили за создание аварийной ситуации, взрывы, превышение скорости и т.п. Ходить везде без маски хотя бы, не изменив внешность, чтоб все тебя узнавали.",2.0
150,Бред полный!Не стоит того чтобы смотреть!,1.0
151,"""очень добрые красивые чувства))) настоящая дружба ))) очень мило)))""",5.0
152,"После 10-й серии начался какой-то лютый треш. Манхву не читала и понятия не имею, как там в оригинале, но согласна с большинством читателей, что сценарий…",2.0
153,очень даже легко... главное не переборщитть с другими цветами в образе тем более сейчас новый тренд красные плотные колготки и красные туфли на…,1.0
154,"Обожаю эту дораму. Ходили такие оба :bip: хитрые, а на BTS спалились. Если любовь, то такая.",4.0
155,Эта Ю Ра такая стремная и губы у неё стремно накрашены,3.0
156,"Ужааас, такой страх за эту серию словила",4.0
